Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Ludwig, the Holy Blade (from Bloodborne: The Old Hunters)","Geoffplaysguitar","Ludwig, the Holy Blade (from Bloodborne: The Old Hunters)","Brani Preferiti Pubblici","Playlist","QZK6P2143554","7hFakqXBBmaxVB2rlAcpFS"
"brains on the asphalt","King 810","brains on the asphalt","Brani Preferiti Pubblici","Playlist","QZTB32240214","75gCb74h1M7uc2yBLaav9c"
"Kingslayer","Robert Slump","Kingslayer","Brani Preferiti Pubblici","Playlist","GX3Q92328672","3Qj3U7hRkvNGo4vMOYyNGP"
"System Overload","Smash Stereo","System Overload","Brani Preferiti Pubblici","Playlist","CH6542307600","1833S0VN7WQh1qS5ggZ1Xx"
"Bone Church","Slipknot","Bone Church","Brani Preferiti Pubblici","Playlist","NLA322300015","36sAFU68abNDrMOJI5QYZi"
"Mayhem","Andromida","Mayhem","Brani Preferiti Pubblici","Playlist","QZNWU2227422","23yBGHE1vMQfnuIoBKwy5k"
"The Damned","The Day We Died","The Damned","Brani Preferiti Pubblici","Playlist","QZFZ42356263","0KLdqsrVj422jzljvilOTS"
"Minazuki (Unohana Bankai Theme) - From ""Bleach""","Gabriele Motta","Minazuki (Unohana Bankai Theme) [From ""Bleach""]","Brani Preferiti Pubblici","Playlist","DGA082271155","2EcjFYcAbeYN4HSxzzRJ0I"
"Finish Line (feat. Adam Gontier)","Skillet","Finish Line (feat. Adam Gontier)","Brani Preferiti Pubblici","Playlist","USAT22221550","5ipALw7s8VxqaxoskWH6hJ"
"Out Go The Lights - Japan Bonus Track","Scorpions","Out Go The Lights (Japan Bonus Track)","Brani Preferiti Pubblici","Playlist","DEUM72117547","6xzsakuDEPnxppCtArUP4O"
"Rock You Like a Hurricane - 2015 - Remaster","Scorpions","Love At First Sting (Deluxe Edition)","Brani Preferiti Pubblici","Playlist","DELV41501024","2fICdpdRotwfmGYzvs8Ngf"
"Wind Of Change","Scorpions","Crazy World","Brani Preferiti Pubblici","Playlist","USPG19090037","3ovjw5HZZv43SxTwApooCM"
"Boys Don't Cry","The Cure","Three Imaginary Boys","Brani Preferiti Pubblici","Playlist","GBALB7800001","1QFh8OH1e78dGd3VyJZCAC"
"Trying More","HORSKH","Wire","Brani Preferiti Pubblici","Playlist","FR59R2098985","3xhVKCpKzdyKiH0gnugfj6"
"FREE YOUR MIND","John Wolfhooker","FREE YOUR MIND","Brani Preferiti Pubblici","Playlist","CZA232201295","2ExWqFNHCpFBnECrPsTEpG"
"God Mode (Remastered)","Sons of Amon","Lock & Load","Brani Preferiti Pubblici","Playlist","uscgj1786223","1ZfU1pkLGQ0ZUrLjUFCwMJ"
"Brainwaves","Bernth","Brainwaves","Brani Preferiti Pubblici","Playlist","TCAGR2237238","21dYFGqhGaopayCk8ZRyQc"
"Departure to the Front Lines - From ""Naruto""","Gabriele Motta","Departure to the Front Lines (From ""Naruto"")","Brani Preferiti Pubblici","Playlist","DGA082241300","2amtzNnkwdG4fQimgmsLw4"
"SMHW (feat. Charles Caswell)","FRCTRD","Somehow // Somewhere","Brani Preferiti Pubblici","Playlist","QM6MZ2185303","4OmUDfIH9lqRXwIbznmXhm"
"Concrete","No Oath","Liminal_","Brani Preferiti Pubblici","Playlist","GBSMU0041422","1VKLNDElwHl4m83ThGgyYv"
"Passage","Olympus Lenticular","Passage","Brani Preferiti Pubblici","Playlist","TCAGS2365588","4k1NTTGYQwLGu9djJxm4pt"
"Rogue","Berend Salverda","Point Zero","Brani Preferiti Pubblici","Playlist","SEYOK1928551","3iIoUjQlWhu2dHJBGNM8fx"
"Strength and Glory","Robert Slump","Strength and Glory","Brani Preferiti Pubblici","Playlist","GX3Q92306847","28IdMjT2sHfsgbrmYJXwFA"
"The Debt","Lift The Curse","The Debt","Brani Preferiti Pubblici","Playlist","QZTB72210771","30y0r3xRBzngsUXJ2FeTgn"
"MURUBURZUM","Ozone Dehumanizer","MURUBURZUM","Brani Preferiti Pubblici","Playlist","QZTB82220884","5z7JiKJkyOLzNPNBYVkhlt"
"Planet on Fire (Warhammer 40k)","Rob Sigurd","Planet on Fire (Warhammer 40k)","Brani Preferiti Pubblici","Playlist","QZNWX2231723","5Gqd5jSi01tBHlzYbm7VAr"
"This Is a Call To Arms","Shredder 1984","Resistance","Brani Preferiti Pubblici","Playlist","ITXDW1900755","1WKhHlXOqCBXKlHt1CVrNA"
"Droid Rage","OGRE Sound","195","Brani Preferiti Pubblici","Playlist","GB-SMU-18-78718","6BzXcsB6HhmO7yQ7qBjK48"
"Mohg, Lord of Blood (From ""Elden Ring"") - Synthwave Version","CthulhuSeeker","Mohg, Lord of Blood (From ""Elden Ring"") [Synthwave Version]","Brani Preferiti Pubblici","Playlist","QZPJ32176922","71gVbpv2VwVHMPo5lmU9Kr"
"Divergent Fist (From ""Jujutsu Kaisen"") - Cover Version","Styzmask","Divergent Fist (From ""Jujutsu Kaisen"") [Cover Version]","Brani Preferiti Pubblici","Playlist","QZPJ32217747","3JBFkgb32hljNhKShFOSsB"
"Flight of the Bumblebee","Apocalyptica","Metal Classic, Classic Metal","Brani Preferiti Pubblici","Playlist","DERK42200140","6TxQF1KzSXJoKzdAzUua9y"
"Never Meant to Belong - From ""Bleach""","Gabriele Motta","Never Meant to Belong (From ""Bleach"")","Brani Preferiti Pubblici","Playlist","FRX872283218","43zHbIZ02hx0ivS4ecBRaV"
"Meathook Squared - Meathook Remade With Meat Hook Sounds","Aaron F. Bianchi Jupiter","Meathook Squared (Meathook Remade With Meat Hook Sounds)","Brani Preferiti Pubblici","Playlist","QZGWX2245082","4IMWbmKxCD5PoCKYsZDLgs"
"Seal of Orichalcos Theme (from ""Yu-Gi-Oh"")","Anast Agakides","Seal of Orichalcos Theme (from ""Yu-Gi-Oh"")","Brani Preferiti Pubblici","Playlist","GX38U2240482","2jxKq8XN3uQHQEcFMzQy13"
"Lichdragon Fortissax (From ""Elden Ring"") - Synthwave Version","CthulhuSeeker","Lichdragon Fortissax (From ""Elden Ring"") [Synthwave Version]","Brani Preferiti Pubblici","Playlist","QZPJ32194095","7zRsGBHggHYRWMC4oD8lKP"
"Ghosthorse","Brendon Small's Galaktikon","Ghosthorse","Brani Preferiti Pubblici","Playlist","TCAFN2124531","5CV3F2Mrme7gCoC7rrGIZc"
"March of the Dead","Dance With the Dead","Driven to Madness","Brani Preferiti Pubblici","Playlist","TCAFY2102387","1yItTv2O2Ui8NmRPt3p7Pq"
"Hundred Years War - From ""Berserk""","Gabriele Motta","Hundred Years War (From ""Berserk"")","Brani Preferiti Pubblici","Playlist","FRX872245828","6b3KQwxFMYexagfltpnUAJ"
"Stand Up Be Strong (Pt. I)","Shiro SAGISU","劇場版BLEACH Fade to Black Original Soundtrack","Brani Preferiti Pubblici","Playlist","JPE300802081","72ipPCGWlVXLbh7rZNwh26"
"Gungrave","Robert Slump","Beast Mode","Brani Preferiti Pubblici","Playlist","GX3Q92179712","63CfISB7zfTjZl5eSoPwOQ"
"Nightmare","Andrew Hulshult","Nightmare Reaper (Original Game Soundtrack)","Brani Preferiti Pubblici","Playlist","TCAGC2278976","1u88dOWVD1K64KK4WwbylO"
"Future Club","A. Yarmak","Hotline Miami Goes Metal","Brani Preferiti Pubblici","Playlist","QZFZ21944704","38FA2ZoefZQ6ASwF6TBbiQ"
"Goblin Slayer Main Theme","Gabriele Motta","Goblin Slayer Main Theme","Brani Preferiti Pubblici","Playlist","FRX282280098","2QVghLxn30nYo059bNynPk"
"Kid Gohan's Whistle","ACN Music.","Kid Gohan's Whistle","Brani Preferiti Pubblici","Playlist","GX89G2203024","04SgnLzXkjhU8o6rNz3Zeb"
"I'm A Monster (From ""One Punch Man Season 2"")","PokéMixr92","I'm A Monster (From ""One Punch Man Season 2"")","Brani Preferiti Pubblici","Playlist","QZGWW1979035","2ef0fg7on1Jb4wtC13rXvV"
"Run - Doom Version","Aaron F. Bianchi Jupiter","Run (Doom Version)","Brani Preferiti Pubblici","Playlist","QZPJ32173541","5qYRS8MBj4911Gq0RSgwjJ"
"Ultima","Within Destruction","Lotus","Brani Preferiti Pubblici","Playlist","QMEU32203714","4cjTV6AHabF6yfJkOVXAXW"
"Bury the Light - From ""Devil May Cry"", Vergil's Theme","Gabriele Motta","Bury the Light (From ""Devil May Cry"", Vergil's Theme)","Brani Preferiti Pubblici","Playlist","FRX282232956","04X46xBXDIz1unz1P5pbva"
"No King Rules Forever","Alex Yarmak","No Pity for the Sinking Ship","Brani Preferiti Pubblici","Playlist","TCAGF2270502","5rjFfvYV6s0bcAmnVGIdfS"
"My Brother Dragon Slayer","aliceintheskies","My Brother Dragon Slayer","Brani Preferiti Pubblici","Playlist","USJ3V2138050","6s5fD2033aTF7o5d2ofKFQ"
"Halloween","Orbit Culture","Halloween","Brani Preferiti Pubblici","Playlist","QZFZ32016599","6dw9CuNdyEYk0a36joDgxQ"
"I'm a Monster","RoomTone","Nice Fight. 2 (Covers from One Punch Man)","Brani Preferiti Pubblici","Playlist","QZFYX2279883","7vjfBRSmxqetr3nvJplvmj"
"Darkbreed","Robert Slump","Beast Mode","Brani Preferiti Pubblici","Playlist","GX3Q92179707","0jB6SUfLOXytyH4VmolaUO"
"Laurence, the First Vicar (From ""Bloodborne"") - Synthwave Version","CthulhuSeeker","Laurence, the First Vicar (From ""Bloodborne"") [Synthwave Version]","Brani Preferiti Pubblici","Playlist","QZPJ32210069","5UJM82gaFmhU8vaRIDVJCJ"
"The Doom Codex","Robert Slump","The Doom Codex","Brani Preferiti Pubblici","Playlist","GX53U2079815","5Omzh7pZ8G2bq9RaFTdiYS"
"Blackbeard Theme - From ""One Piece""","Gabriele Motta","Blackbeard Theme (From ""One Piece"")","Brani Preferiti Pubblici","Playlist","DGA052264386","4Bli0DdkMREzsq4f0qpXfY"
"Smoke","XVI Religion","John Princekin 3","Brani Preferiti Pubblici","Playlist","ITK192200002","4wgeucbaRdXhrnO9JXFBh1"
"Shinobi","ZZ","Shinobi","Brani Preferiti Pubblici","Playlist","QZDA71969386","5rzS0y9y5nkhIh1K3zEvcC"
"IRR€V€R$IBIL€","Mistaman","M-theory","Brani Preferiti Pubblici","Playlist","ITJA21400208","52wCO1vVPLi7o6PigND20F"
"I'm a Monster (Garou Theme) - From ""One Punch Man""","Gabriele Motta","I'm a Monster (Garou Theme) [From ""One Punch Man""]","Brani Preferiti Pubblici","Playlist","DGA062219374","6MBOnWC0UVeaAnKOpitfDS"
"Dunkelheit","Burzum","Filosofem","Brani Preferiti Pubblici","Playlist","GBXGC0809001","5v3TSHYm8BzbON2u6QBEG7"
"Carbomb","Ghostemane","Fear Network","Brani Preferiti Pubblici","Playlist","TCAEE1910760","5XJr0WY9DzZ5pIY8ySUmI7"
"Instant","Fractalize","Immersion","Brani Preferiti Pubblici","Playlist","TCAEP2028587","1v37i9l2BzxRab3dusiXdQ"
"Ink - Instrumental","The Dali Thundering Concept","Savages Instrumental","Brani Preferiti Pubblici","Playlist","QZ5FN1889805","2coofmtZo7ibenta1niuYt"
"Far From Earth","Zero Horizon","L.I.F.E","Brani Preferiti Pubblici","Playlist","QZDA42127490","0cbZIkuBCJvtJqXcaMBJyc"
"Riskäpplet","Stoort Neer","MÖRRINJÖ","Brani Preferiti Pubblici","Playlist","QZNWQ2086667","3c4WPdgqinwv9khgKFp8St"
"Sulphur","Drown in Sulphur","Blackwind","Brani Preferiti Pubblici","Playlist","usdy41929508","12CJJpLPkhRDuYLLOFtvnc"
"Night Terrors - Instrumental","Currents","The Place I Feel Safest (Instrumental)","Brani Preferiti Pubblici","Playlist","DED831800426","6yChd1se5AkQRhjg6k5OeZ"
"Dead Star","Olympus Lenticular","Artificial Apex","Brani Preferiti Pubblici","Playlist","TCAFT2153901","54WQ0XjxAeTXyUYY2sPZrT"
"Monsters - Instrumental","Currents","The Way It Ends (Instrumental)","Brani Preferiti Pubblici","Playlist","DED832100230","1ngoC3Qln76vBVwZ2WWiMq"
"Interface","No Oath","Silicon","Brani Preferiti Pubblici","Playlist","GBSMU7949306","17rsgn425teXYs1oGMUR2Y"
"Fujiwhara Effect","ENEMY AC130 ABOVE","The Center of Celestial Existence","Brani Preferiti Pubblici","Playlist","TCAFE2022602","30RyTuM0Z05YqdO3GzlWzQ"
"The Doubt // .61803..","IAMONE","The Life Code","Brani Preferiti Pubblici","Playlist","QMPKX1810266","3PyZktCrq4w81Jr9Cq2UIg"
"Megastructure","No Oath","Silicon","Brani Preferiti Pubblici","Playlist","GBSMU7949302","7J1R3foygGUtpgSE53QEXu"
"The Center of Celestial Existence","ENEMY AC130 ABOVE","The Center of Celestial Existence","Brani Preferiti Pubblici","Playlist","TCAFE2022597","2DQQ1qMBlH6GLdDbWTDMBn"
"Anthropocene","Olympus Lenticular","Artificial Apex","Brani Preferiti Pubblici","Playlist","TCAFT2153895","2spb00dZSElw4tARmNoImy"
"Molecular Integrity","ENEMY AC130 ABOVE","The Center of Celestial Existence","Brani Preferiti Pubblici","Playlist","TCAFE2022617","10NpmRdADgGWkgebR6D8HM"
"The Ascent","Nik Nocturnal","Undying Shadow","Brani Preferiti Pubblici","Playlist","QZAPG1735971","7HvX5hokFVpqrmZrH16siE"
"Awaken","Mankind Grief","Inquisitor","Brani Preferiti Pubblici","Playlist","TCAEH1924955","3RFCIsTJV79Movk8UClmMP"
"Tabula Rasa","FRCTRD","Somehow // Somewhere","Brani Preferiti Pubblici","Playlist","QM6MZ2185298","727zQJPoeKUh3jJ3bKrkdt"
"Net","No Oath","Silicon","Brani Preferiti Pubblici","Playlist","GBSMU7949301","0t1rYZzhcwuqLIv5GrE9yP"
"Dood E1M1","Jason Richardson","Dood E1M1","Brani Preferiti Pubblici","Playlist","USA2P2038270","1NTDPD1DrcDpGoYlVbIXEa"
"Artefact","No Oath","Silicon","Brani Preferiti Pubblici","Playlist","GBSMU7949307","4yCADRCYZ0IxwSYe5TgXwq"
"Archean","Olympus Lenticular","Artificial Apex","Brani Preferiti Pubblici","Playlist","TCAFT2154007","5q7MyPXbvTTeJSZD08cG7l"
"Brass Crown","Left To Vanish","Dethroned","Brani Preferiti Pubblici","Playlist","TCADL1835947","7IM6GvATl0WipklxF32WdN"
"Disclosure","Krosis","Solem Vatem (Redux)","Brani Preferiti Pubblici","Playlist","QM7282024354","7DEROTVVtH7BtaE68SPimV"
"Reform","Terraform","Zenith","Brani Preferiti Pubblici","Playlist","USDHM1530348","11UKdusKqiVXDp5CokEelA"
"Non Dormire","Noyz Narcos","Non Dormire","Brani Preferiti Pubblici","Playlist","ITDF61777024","2E2Za7ZEqhAaxDAn4IdIk6"
"Self-Embodiment Of Perfection","Alisa Okehazama","Jujutsu Kaisen (Original Television Soundtrack)","Brani Preferiti Pubblici","Playlist","JPV432100218","5uYgzNP1o6iZ4Ozk1aWMg2"
"Martial Arts","RoomTone","Nice Fight. 2 (Covers from One Punch Man)","Brani Preferiti Pubblici","Playlist","QZFYX2279882","5ek2BiKpc157Iixnedtr1N"
"The Kids Aren't Alright","The Offspring","Americana","Brani Preferiti Pubblici","Playlist","USSM19804363","4EchqUKQ3qAQuRNKmeIpnf"
"Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","Brani Preferiti Pubblici","Playlist","USSM11205433","59WN2psjkt1tyaxjspN8fp"
"Sound of Madness","Shinedown","The Sound of Madness","Brani Preferiti Pubblici","Playlist","USAT20802280","1TRr8Pp2uOqL24fMHpJyV3"
"BURN IT DOWN","Linkin Park","LIVING THINGS","Brani Preferiti Pubblici","Playlist","USWB11200587","7oVEtyuv9NBmnytsCIsY5I"
"Taking You Down","Egypt Central","Egypt Central","Brani Preferiti Pubblici","Playlist","US2D60720003","3kt9T7qmJO7TbBoxthaIVW"
"Prayer Of The Refugee","Rise Against","The Sufferer & The Witness","Brani Preferiti Pubblici","Playlist","USUM70603971","2VGQ342iuqj6aSaYbyBQVJ"
"Over And Under","Egypt Central","Egypt Central","Brani Preferiti Pubblici","Playlist","US2D60720002","6Lah64e21cUytn0QXfuOoF"
"Faint","Linkin Park","Meteora","Brani Preferiti Pubblici","Playlist","USWB10300468","4Yf5bqU3NK4kNOypcrLYwU"
"Numero Uno","Ensi","Era Tutto Un Sogno","Brani Preferiti Pubblici","Playlist","ITDF41900054","13eXWlxnma6Dx7y9O1PIGF"
"New Face // Same Loneliness","VCTMS","New Face // Same Loneliness","Brani Preferiti Pubblici","Playlist","QZPLR2062998","5Ts6o2M7awSFQ83x1yMVmo"
"Alone - (Instrumental)","Within Destruction","Yōkai (Instrumental)","Brani Preferiti Pubblici","Playlist","QZMEQ2043053","7KSxESCuWcB5XKPwiTgNvS"
"HAZE","howie808","HAZE","Brani Preferiti Pubblici","Playlist","QZNWZ2010789","2dLDWVH9wsbjSiPXcKf3um"
"The Only","Static-X","Shadow Zone","Brani Preferiti Pubblici","Playlist","USWB10301803","35ZmCVnfYRdK1iLGCxNhMa"
"Mirrors","Jason Richardson","I","Brani Preferiti Pubblici","Playlist","TCACO1698719","6DGVUAbl1XD2yREim4Tm0p"
"Sakura","Within Destruction","Yōkai","Brani Preferiti Pubblici","Playlist","QZHN62013507","2s0xdai1hn2yRLAliZMLRV"
"AFFLUENZA","3TEETH","METAWAR","Brani Preferiti Pubblici","Playlist","USQX91900119","1z4xkST8yFwWI4pgNcxFG7"
"G.O.A.T.","Polyphia","New Levels New Devils","Brani Preferiti Pubblici","Playlist","ITH711800114","0maCwhZTO3PybhSiQcsjAf"
"ARGENT INTENSITY","Jesse Zuretti","ARGENT INTENSITY","Brani Preferiti Pubblici","Playlist","QZMER2298385","3upLu0ehEJqKgmITTkpmlS"
"Death by Metal","Fulci","Death by Metal","Brani Preferiti Pubblici","Playlist","TCAER2082655","2XAZyMLoPLOfgKqbQZqtMR"
"Quello che c'abbiamo","Gente de Borgata","Manifesto","Brani Preferiti Pubblici","Playlist","ITAB21300099","44tOxu968niVstZSQv9Ww1"
"JoJo's Theme (Doom Version)","Aahiden","JoJo's Theme (Doom Version)","Brani Preferiti Pubblici","Playlist","QZNWU2263919","5CILaxqY18T6yBVvMx2DmI"
"Dr. Satana","Vashish","Hardercore Rap","Brani Preferiti Pubblici","Playlist","TCAFU2170842","2f7Gqfr1s1W40epDrja4vF"
"Rassegna Stampa","P38","Rassegna Stampa","Brani Preferiti Pubblici","Playlist","ITHEZ2200001","6LJILjWl4AuUovERv9lR7F"
"RENAULT","P38","NUOVE BR","Brani Preferiti Pubblici","Playlist","TCAFW2150475","5aJKklLQ9cw5ZkGMpScpq7"
"Rules of Engagement","Geneburn","Rules of Engagement","Brani Preferiti Pubblici","Playlist","QZES52147827","3pmWZXxW73nDvV8H7xdwOV"
"Succubus","Void Amber","Succubus","Brani Preferiti Pubblici","Playlist","QZNWU2091375","0BBwfkWHWs1Cw14CCwVRIL"
"AGRESSIVE","SAMURAI","AGRESSIVE","Brani Preferiti Pubblici","Playlist","QZDA82275953","15X0M4txy5jjMlqz2s2LHK"
"Antiproiettili","Pacino","Passione e sacrificio","Brani Preferiti Pubblici","Playlist","ITAB21100053","7AmtnICNZuyUN0WtUdjYcP"
"Alfa 90","Grezzo","Siberia","Brani Preferiti Pubblici","Playlist","FR10S1924985","7JUkjNzOYw6fB1x5wCrsPB"
"Mac vs Myc","Mac Myc","Skinwalkers","Brani Preferiti Pubblici","Playlist","TCAEP2048588","28JZExW7rjO1AAWfsh6vCO"
"Tempesta perfetta","Mac Myc","Skinwalkers","Brani Preferiti Pubblici","Playlist","TCAEP2048594","6mXvQ4e1MJarh3Ps35VloK"
"Gotham (Freestyle)","Mac Myc","Lone Wolf","Brani Preferiti Pubblici","Playlist","TCAES2039682","15TzLUC79cYac2Xl3R5lVR"
"10 Bottiglie di Rum","Mac Myc","Lone Wolf","Brani Preferiti Pubblici","Playlist","TCAES2039676","3Dfc9aOKRWfWqiwqZYj5wi"
"Immortale","Mac Myc","Lone Wolf","Brani Preferiti Pubblici","Playlist","TCAES2039640","2kWR7082ERLnVTXCuJO96X"
"Lupo (2018)","Ozone Dehumanizer","Lupo (2018)","Brani Preferiti Pubblici","Playlist","QZHNA2155145","4aEkSs5d3HK9KalSxuLqIV"
"Treachery (Aizen Theme) - From ""Bleach""","Gabriele Motta","Treachery (Aizen Theme) [From ""Bleach""]","Brani Preferiti Pubblici","Playlist","FR10S2219429","6ylDYwLz0hwxB6EMWP1Npa"
"Bosco Di Pan","Ozone Dehumanizer","Bosco Di Pan \ Gli Alberi Verdi","Brani Preferiti Pubblici","Playlist","QZES72091259","0EAffG5DcNlIEndX7QUsrQ"
"Ulfhethnar","Ozone Dehumanizer","Ulfhethnar","Brani Preferiti Pubblici","Playlist","QZFZ72236716","2vJ9qkPqkEvifhhYv47ULN"
"xNxCxFx (2019)","Ozone Dehumanizer","xNxCxFx (2019)","Brani Preferiti Pubblici","Playlist","QZHNA2117249","5VNb92sWKDVMc2oTc7dUnQ"
"Brutal Verses","Ozone Dehumanizer","Brutal Verses","Brani Preferiti Pubblici","Playlist","QZDA72035668","3uaJINVUbP9VNZ8NOI6tPc"
"PRIMO PRINCIPIO DI ANNULLAMENTO DELLA LUCE","Ozone Dehumanizer","PRIMO PRINCIPIO DI ANNULLAMENTO DELLA LUCE","Brani Preferiti Pubblici","Playlist","QZHN32249351","2XcMXZ9hZDkA6gvVg313a6"
"Dancing With Myself","Billy Idol","Vital Idol","Brani Preferiti Pubblici","Playlist","USNPD1217889","1BY1Vd2Bt6JPOhMvsIwtVv"
"Shout","Tears For Fears","Songs From The Big Chair (Super Deluxe Edition)","Brani Preferiti Pubblici","Playlist","GBF088490125","11leihwcsTVOTo1gxpgYNG"
"London Calling - Remastered","The Clash","London Calling (Remastered)","Brani Preferiti Pubblici","Playlist","GBARL1200680","5jzma6gCzYtKB1DbEwFZKH"
"Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition","Brani Preferiti Pubblici","Playlist","USSM19902990","1OOtq8tRnDM8kG2gqUPjAj"
"Sharp Dressed Man - 2008 Remaster","ZZ Top","Eliminator","Brani Preferiti Pubblici","Playlist","USWB10702682","1UBQ5GK8JaQjm5VbkBZY66"
"We're Not Gonna Take It","Twisted Sister","Stay Hungry","Brani Preferiti Pubblici","Playlist","USAT20000548","1hlveB9M6ijHZRbzZ2teyh"
"Back In Black","AC/DC","Back In Black","Brani Preferiti Pubblici","Playlist","AUAP08000046","08mG3Y1vljYA6bvDt4Wqkj"
"Black Hole Sun","Soundgarden","Superunknown (Deluxe Edition)","Brani Preferiti Pubblici","Playlist","USAM19400007","2EoOZnxNgtmZaD8uUmz2nD"
"Goblin Slayer (Main Theme)","Lucas Sto Gar","Goblin Slayer (Main Theme)","Brani Preferiti Pubblici","Playlist","AEA0Q2038322","1qlnKVmrcoweV8QzUHIZ0Y"
"Aria - From ""Berserk""","Gabriele Motta","Aria (From ""Berserk"")","Brani Preferiti Pubblici","Playlist","FRX282197864","0WjKxrT6hE8syAgILRClp5"
"Crazy Train","Dsa Commando","Sputo","Brani Preferiti Pubblici","Playlist","TCACK1502730","2CaFkoeprVbkyMKUNPWsjp"
"Vi dovete spaventare","Richard Benson","L'inferno dei Vivi","Brani Preferiti Pubblici","Playlist","ITK251510017","0fX7UAoRMv4bafrdSRV4Dj"
"I Nani","Richard Benson","L'inferno dei Vivi","Brani Preferiti Pubblici","Playlist","ITK251510012","6PnDqCYWtui2l2xKXz9EJx"
"Solo contro l'universo","Kappa-O","Kappa-O vs l'universo","Brani Preferiti Pubblici","Playlist","TCAEA1851588","1nGoPhTWBeEMiYTbHXoY6i"
"Pezzi bui","Skruigners","Grazie di tutto","Brani Preferiti Pubblici","Playlist","FR6V89902928","1fYzW5GSU0ETbvfpb66OGS"
"Parlavo Con La Luna","Ozone Dehumanizer","Parlavo Con La Luna","Brani Preferiti Pubblici","Playlist","QZES52044912","4U4g37lplU2GLaCu6Hyott"
"Devil Jin Kazama","IN6N","(Black Parade)","Brani Preferiti Pubblici","Playlist","QZHN61941439","4oQCIpsTYwcZDPDwBwJdyE"
"Amore per l'Inox","Vashish","Hardercore Rap","Brani Preferiti Pubblici","Playlist","TCAFU2170890","5G2llp5CHlUxxcrkvP2xpU"
"Montecitorio","IN6N","(Black Parade)","Brani Preferiti Pubblici","Playlist","QZHN61941438","6mio6wrfjohLqhYlIwYW9T"
"Dalla Morte","Ozone Dehumanizer","Dalla Morte","Brani Preferiti Pubblici","Playlist","QZES52043845","7eXDqpt48mK7gPfmdXfdd2"
"Rust in Peace","NEO13","Tredici","Brani Preferiti Pubblici","Playlist","FRX872168663","6yepkCBZImSXuf99v0HNqk"
"God Of War - From ""God Of War 5""","Gabriele Motta","God Of War (From ""God Of War 5"")","Brani Preferiti Pubblici","Playlist","FR10S2217764","3UOJ2sp6RJrp5QAKUVwCuM"
"Paranoid","Black Sabbath","Paranoid (Remastered)","Brani Preferiti Pubblici","Playlist","GBAJE7000057","5ERnPWGQc5QK7M7HW3rjC6"
"Mist of Rage","Noisecream","Bananas","Brani Preferiti Pubblici","Playlist","QZFYZ1911039","2HejOe2xupqJYBzExs9bN4"
"Doom 3 Theme Song","Andrew Baena","Doom 3 Theme Song","Brani Preferiti Pubblici","Playlist","QZDA72138153","2JzCEqMEmLFjE3CoExvqBR"
"The Sanctified Mind (From ""Destiny 2"")","Utamaru","The Sanctified Mind (From ""Destiny 2"")","Brani Preferiti Pubblici","Playlist","QZGWX2050466","5GORJlaRt7uGiR6tWz8zFz"
"Into Sandy's City","Nemistade","Into Sandy's City","Brani Preferiti Pubblici","Playlist","USY281609558","3nYfayWymqgRnpgwCIhdui"
"In the House In a Heartbeat - Remix","Metro Exodus","In the House In a Heartbeat (Remix)","Brani Preferiti Pubblici","Playlist","UKLMF1900001","2iSjIEdVdyxd34tgxwB8aW"
"Spoiler","Alex Yarmak","Cyberpunk Goes Metal","Brani Preferiti Pubblici","Playlist","QZHN41906823","0wV5mWmouqG0XUPbUCTC4X"
"Don't Look Behind - From ""Black Lagoon""","Vasaria Project","Repentance","Brani Preferiti Pubblici","Playlist","FR96X1642018","1NSAPNSZ4WUWU70f1hbo9a"
"Elden Ring Trailer Theme (from ""Elden Ring"")","UprisingGrand","Elden Ring Trailer Theme (from ""Elden Ring"")","Brani Preferiti Pubblici","Playlist","QZNWU2141943","3cWlmj8xxu25xE94FQB54e"
"Heavy Violence - From ""Naruto""","Gabriele Motta","Heavy Violence (From ""Naruto"")","Brani Preferiti Pubblici","Playlist","FR26V2065852","32fMsJFtfncxJs89H6djjq"
"Crazy Spec - From ""Baki""","Gabriele Motta","Crazy Spec (From ""Baki"")","Brani Preferiti Pubblici","Playlist","FRX762173147","6tmDqbyYxiCJzK09OwMIOJ"
"The Only Thing They Fear Is Silver For Monsters (DOOM x Witcher)","Heytan Music","DOOM Covers","Brani Preferiti Pubblici","Playlist","QZGWW2106004","0mGglJezOWJEFSLbiM6EO8"
"Everything Ends Here","Gunpowderbob","Everything Ends Here","Brani Preferiti Pubblici","Playlist","QZFZ31986189","7DuEbYVpulQTpjUDCIFCRx"
"At Eternal's Gate","DasKuchenMann","New Ends","Brani Preferiti Pubblici","Playlist","QZK6M2025246","0xrDC8bDPoUdUXgN4oHOvk"
"Cultist Base (From ""Doom Eternal"")","Eoe","Eoe of Cyberpunk","Brani Preferiti Pubblici","Playlist","QZPJ32128654","7IpW719VSSH9qco1zHcwpZ"
"264bpm Song","Andrew Baena","264bpm Song","Brani Preferiti Pubblici","Playlist","QZMEN2088838","6u0wLxcpWMtg11kYWrhCOk"
"Blood Coagulant","DM DOKURO","The Tale of a Cruel World (Calamity Original Game Soundtrack)","Brani Preferiti Pubblici","Playlist","QZ6K42000823","2XMZbIpXhtnNvC9NsCJlQz"
