Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Hero Song of Hope (From ""Dragon Ball Z: Battle of Gods"") - Instrumental Version","Styzmask","Hero Song of Hope (From ""Dragon Ball Z: Battle of Gods"") [Instrumental Version]","Brani Preferiti Pubblici","Playlist","QZPJ32344549","0cfQwK6moKNQajXHB8TeE5"
"Ansia","Biglietto Per L'Inferno","Biglietto per l'Inferno (2012 Remaster)","Brani Preferiti Pubblici","Playlist","NLHR51264725","4oeZXMSQRzls4C61FyVvRA"
"Confessione","Biglietto Per L'Inferno","Biglietto Per L'Inferno","Brani Preferiti Pubblici","Playlist","NLAX70935604","7MGag20jTsl30TmOM9YUh3"
"IL PASS","NoLove4Me","IL PASS","Brani Preferiti Pubblici","Playlist","TCAHX2455099","5j1LzyNu99FZcs4I1tqZMI"
"Chthonic Gods","False Empyrean","Chthonic Gods","Brani Preferiti Pubblici","Playlist","QZES52254287","5S92QIxdAKzjYRupnx407S"
"Bone Guitar","Alamander","Bone Guitar","Brani Preferiti Pubblici","Playlist","QZPLR2120573","6yZDnqpzufn7cWoYVqHpLV"
"Doom","Lowrater","Doom","Brani Preferiti Pubblici","Playlist","QZMEQ2182958","3M0EVkoYe0FKMNiMxn16No"
"The protector","Lowrater","The protector","Brani Preferiti Pubblici","Playlist","QZNWV2115889","4FqaGrkiRNvNMXgfjDf3ia"
"Tenebre Rosso Sangue (ULTRAKILL Original Game Soundtrack)","Keygen Church","Tenebre Rosso Sangue (ULTRAKILL Original Game Soundtrack)","Brani Preferiti Pubblici","Playlist","TCAGR2257113","6BWwOL0DEK1aLaDjyipjZj"
"Enclave","MonoCronic","Enclave","Brani Preferiti Pubblici","Playlist","QZTAS2270042","2gM7nuXwTInKAsGXqdOe85"
"Sign of Evil","Zach Vee","Sign of Evil","Brani Preferiti Pubblici","Playlist","QZK6N2208741","4FTc8FELGlAtZEJhX4RZ46"
"Alien","Remstage Music","Alien","Brani Preferiti Pubblici","Playlist","QZFZ42443173","3b7xAH3lzB1CdNtd3G26iO"
"KAMIGAMI-神噛- - TV edit","MAXIMUM THE HORMONE","KAMIGAMI-神噛- (TV edit)","Brani Preferiti Pubblici","Playlist","JPWP02100160","4SNhHffgdvKYyyGcbxqPZ1"
"Дикая львица","ALEX&RUS","Дикая львица","Brani Preferiti Pubblici","Playlist","QM6N21999015","4leX3RnYM4CIc6nMrcaZ4m"
"Boogie Woogie","照井順政","Jujutsu Kaisen (Original Television Soundtrack)","Brani Preferiti Pubblici","Playlist","JPV432100232","2RkRxoofhx2GQp0icgr9gO"
"Eternal Wrath","Psygnals","Eternal Wrath","Brani Preferiti Pubblici","Playlist","QZFYY2485975","5eHsf6qj6p9kOuXdk4T59f"
"Dead Air","Psygnals","Dead Air","Brani Preferiti Pubblici","Playlist","QZNWR2394793","4k87AXjXSNbDcNu9m0BgM3"
"Smile","David Csontos","Smile","Brani Preferiti Pubblici","Playlist","QZWFP2394026","68clgblGuFv1W3734PJ8q4"
"Maligog","Jesse Zuretti","Maligog","Brani Preferiti Pubblici","Playlist","QZNWS2065475","6ZgUSELAA6qzMZ7fb29BkY"
"Complexity","Brandon McKagan","TREPANG2 Original Soundtrack (Vol 2)","Brani Preferiti Pubblici","Playlist","QZNWW2395366","6jLD2mVJkx4OgQE0NNs7RZ"
"London Bridge is Falling Down","Jackendo","Ragnarok: Volume II","Brani Preferiti Pubblici","Playlist","QZNWZ2207301","0smZuYVMbklWRUUgjart2p"
"Blood and Guts (Berserk Original Soundtrack)","Rob Sigurd","Blood and Guts (Berserk Original Soundtrack)","Brani Preferiti Pubblici","Playlist","QZK6J2222453","0sIcZSAm5vUNvxsLpvvEf0"
"Startup","Humanity's Last Breath","Void (Dota 2 Music Pack)","Brani Preferiti Pubblici","Playlist","TCAGO2203935","7lmJ4SKnq5JguY7RSbAuZv"
"Cybernetic Assault","Ghostwriter","Hyde","Brani Preferiti Pubblici","Playlist","QZV362223743","47yZYDZ0kiK7uocyDHk7tn"
"Violence-Fueled Power Armor","Rob Sigurd","Violence-Fueled Power Armor","Brani Preferiti Pubblici","Playlist","QZHN72360848","6h9xoxmhBF2eO7KDQjK8gQ"
"False Idol","Digiterra","False Idol","Brani Preferiti Pubblici","Playlist","QZMEN2234690","3UIkHBxnc4P9SqMUubUeaN"
"My Web of Chaos","David Csontos","My Web of Chaos","Brani Preferiti Pubblici","Playlist","QZWFG2301268","3SciprDJwvzma5ndqQUHyM"
